Datum;1.Hoe vaak gebruikt u internet per dag?;2.Maakt u zich zorgen over je privacy terwijl u met het internet verbonden bent.;3.Indien u zich zorgen maakt over u privacy, geef het een cijfer van 1-10;4.Indien je een account hebt op Google/Facebook/Youtube/Twitter, heb je het privacybeleid van deze sites gelezen voor je een account aanmaakte?;5.Indien u Facebook hebt, weet u wat Facebook over je verzamelt van gegevens en wat ze hiermee doen?;6.Indien u Youtube hebt, weet u wat Youtube over je verzamelt van gegevens en wat ze hiermee doen?;7.Indien u Google hebt, weet u wat Google over je verzamelt van gegevens en wat ze hiermee doen?;8.Indien u Twitter hebt, weet u wat Twitter over je verzamelt van gegevens en wat ze hiermee doen?;"9.Kent u de service &quot;Google Analytics&quot; die Google aanbiedt?";10.Welke informatie denk u dat u vrijgeeft tijdens het surfen?;11.Weet u wat een cookie is?;12.Verwijdert u regelmatig uw cookies?;13.Weet u wat cachegeheugen is?;14.Verwijdert u regelmatig uw cachegeheugen van de browser?;15.Weet u wat een MAC-adres is?;16.Weet u wat een IP-adres is?;17.Via welke brower surft u het meeste?;"18.Surft u vaak op publieke onbeveiligde netwerken (Wi-Fi), zoals bijvoorbeeld in een caf&eacute; of gewoon op straat?";19.Gebruikt u een VPN tijdens het surfen?;20.Gebruikt u bepaalde manieren om anoniemer te zijn tijdens het surfen?
;;;;;;;;;;;;;;;;;;;;
23/3/2017 om 19u 07m 07s; 4-8 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Ja; Nee; Nee; Nee; Nee; Nee;naar welke sites je surft; Ja; Elke maand; Nee; Geen idee; Nee; Ja; Google Chrome; Nee; Geen idee wat het is;nee
23/3/2017 om 19u 07m 14s; 2-4 uur per dag; Ja;7; Nee; Ja; Ja; Ja; Ja; Ja;Metadata. (Zoekgedrag, locatie, persoonlijke info, leeftijd, geslacht, ...); Ja; Elke maand; Ja; Elke maand; Ja; Ja; Google Chrome; Ja; Nee;Heb me neergelegd bij het feit dat gegevens verzamelt worden. Als ik echt anoniem zou willen zijn, zou ik het wel doen via TOR, VPNs, Proxies... Maar enige dat ik vaak gebruik is incognito, maar ben me er bewust van dat het niet echt anoniem is. Meer voor cache en geschiedenis te verwijderen wanneer je afsluit.
23/3/2017 om 19u 09m 35s; 2-4 uur per dag; Ja;8; Nee; Nee; Nee; Nee; Nee; Ja;Ip, locatie, browser, OS; Ja; Elke week; Ja; Elke maand; Ja; Ja; Google Chrome; Nee; Nee;Nee
23/3/2017 om 19u 27m 13s; 2-4 uur per dag; Ja;6; Nee; Nee; Nee; Nee; Nee; Ja;Zoekgeschiedenis, e-mailadres, telefoonnummers, naam, adres, IP-adres; Ja; Geen idee; Nee; Geen idee; Nee; Ja; Google Chrome; Ja; Ja;Neen
23/3/2017 om 19u 34m 43s; 2-4 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Nee; Nee; Nee; ; Nee;Alle sites die ik bezoek; Nee; Geen idee; Ja; Elke week; Nee; Ja; Google Chrome; Nee; Geen idee wat het is;Nee
23/3/2017 om 19u 54m 28s; 2-4 uur per dag; Ja;6; Nee; Ja; Ja; Ja; Ja; Ja;Zowat alles van leeftijd tot interesses tot koopgedrag; Ja; Geen idee; Ja; Geen idee; Ja; Ja; Google Chrome; Ja; Nee;Neen
23/3/2017 om 19u 55m 17s; 2-4 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Nee; Nee; Nee; Nee; Nee;Alles; Ja; Elke maand; Nee; Geen idee; Nee; Ja; Safari; Nee; Ja;Nee
23/3/2017 om 19u 55m 25s; 4-8 uur per dag; Ja;6; Nee; Nee; Nee; Ja; Nee; Ja;Surfgedrag, Facebook informatie; Ja; Elke week; Ja; Elke week; Ja; Ja; Google Chrome; Ja; Nee;Incognito mode van Chrome om naar bepaalde sites te surfen
23/3/2017 om 19u 56m 49s; 4-8 uur per dag; Ja;8; Nee; Nee; Nee; Nee; Nee; Nee;0; Ja; Elke dag; Ja; Elke dag; Ja; Ja; Google Chrome; Ja; Nee;nee
